STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi Radin Inten II;26/02/2021;23.2;31.6;26.3;84;48;2.8;5;320;2;NW
Stasiun Meteorologi Radin Inten II;27/02/2021;23;32.2;27.3;82;9;5.1;5;340;1;C 
Stasiun Meteorologi Radin Inten II;28/02/2021;23.8;32.1;26.7;85;0;4.5;6;320;1;C 
Stasiun Meteorologi Radin Inten II;01/03/2021;23.6;33;27.9;78;1.8;2.5;3;350;2;N 
Stasiun Meteorologi Radin Inten II;02/03/2021;-;31.2;27.2;87;-;5.8;5;340;2;C 
Stasiun Meteorologi Radin Inten II;03/03/2021;22.6;33;27.3;82;5.5;2.5;5;320;2;C 
Stasiun Meteorologi Radin Inten II;04/03/2021;22.4;32.6;26.4;88;42.7;8.6;4;340;2;C 
Stasiun Meteorologi Radin Inten II;05/03/2021;23.2;33.6;27.3;84;60;7.5;6;330;2;C 
Stasiun Meteorologi Radin Inten II;06/03/2021;23;33;26.8;84;-;9;5;340;2;NW
Stasiun Meteorologi Radin Inten II;07/03/2021;23.2;32;26.1;85;1.5;5.4;4;230;2;C 
Stasiun Meteorologi Radin Inten II;08/03/2021;23;32.4;26.1;84;3.4;3;3;180;1;C 
Stasiun Meteorologi Radin Inten II;09/03/2021;23;32;26.6;82;8888;2.7;5;350;2;C 
Stasiun Meteorologi Radin Inten II;10/03/2021;23.6;31.6;27;84;-;6;6;340;2;C 
Stasiun Meteorologi Radin Inten II;11/03/2021;23.4;31.8;26.4;86;5;7.5;5;340;2;N 
Stasiun Meteorologi Radin Inten II;12/03/2021;23.4;31.4;25.6;86;3.5;4.4;4;40;1;C 
Stasiun Meteorologi Radin Inten II;13/03/2021;22.6;32;26;85;10;2.8;4;150;1;C 
Stasiun Meteorologi Radin Inten II;14/03/2021;22.6;32.2;26.1;87;8888;7.8;4;320;1;C 
Stasiun Meteorologi Radin Inten II;15/03/2021;23.2;32.6;27.1;83;-;5.5;5;320;2;NE
Stasiun Meteorologi Radin Inten II;16/03/2021;23.2;32.2;27.2;81;0;7.5;4;160;1;C 
Stasiun Meteorologi Radin Inten II;17/03/2021;23.4;33.4;27.6;78;-;-;3;40;1;C 
Stasiun Meteorologi Radin Inten II;17/03/2021;23.4;33.4;27.6;78;-;-;3;40;1;C 
Stasiun Meteorologi Radin Inten II;18/03/2021;23.6;33.6;27.9;81;0;8.5;5;120;2;C 
Stasiun Meteorologi Radin Inten II;19/03/2021;23.4;34;27.8;77;0;8.5;3;30;1;C 
Stasiun Meteorologi Radin Inten II;20/03/2021;23.3;33.6;28;75;-;8;6;320;1;C 
Stasiun Meteorologi Radin Inten II;21/03/2021;-;34;27.6;78;-;9;3;220;1;SW
Stasiun Meteorologi Radin Inten II;22/03/2021;23.2;32;26.2;86;5;8.3;4;330;1;C 
Stasiun Meteorologi Radin Inten II;23/03/2021;24;32.6;26.3;88;12.2;4;5;20;1;C 
Stasiun Meteorologi Radin Inten II;24/03/2021;-;30;25.6;88;5;6.7;4;270;1;C 
Stasiun Meteorologi Radin Inten II;25/03/2021;23.6;30.8;26.2;88;2;1;6;340;2;C 
Stasiun Meteorologi Radin Inten II;26/03/2021;23.6;33.4;27.8;81;8888;2.5;4;120;1;C 
Stasiun Meteorologi Radin Inten II;27/03/2021;24.2;32.2;27.4;82;-;8.7;5;130;1;C 
Stasiun Meteorologi Radin Inten II;28/03/2021;24.4;33.8;28.7;78;0;2;7;160;2;C 
Stasiun Meteorologi Radin Inten II;29/03/2021;24;31.4;27.9;83;-;8.6;3;20;1;C 
Stasiun Meteorologi Radin Inten II;30/03/2021;24.4;32;27.1;84;2;3.2;7;120;2;C 
Stasiun Meteorologi Radin Inten II;31/03/2021;24.2;33.2;27.7;77;0.5;1;3;340;1;C 
Stasiun Meteorologi Radin Inten II;01/04/2021;24;28.8;26.3;90;-;5;3;320;1;C 
Stasiun Meteorologi Radin Inten II;02/04/2021;-;32.6;27.6;84;8888;0;4;40;1;C 
Stasiun Meteorologi Radin Inten II;03/04/2021;23.8;30.2;26.5;88;45;0;5;330;1;C 
Stasiun Meteorologi Radin Inten II;04/04/2021;24;32.8;27.5;81;-;1;5;320;2;C 
Stasiun Meteorologi Radin Inten II;05/04/2021;-;33;28.2;82;-;1.5;3;150;1;C 
Stasiun Meteorologi Radin Inten II;06/04/2021;25;32.8;28.3;80;-;2.8;4;20;2;C 
